,,,Población de 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1 ,,,,Población de 22 años o más nacida a partir de 1998 sin educación media superior completa2,,Población de 16 años o más nacida entre 1982 y 1997 sin secundaria completa,,,,,Población de 16 años o más nacida antes de 1982 sin primaria completa,,,,,Población sin educación obligatoria3,,,,,,,,,,Población de 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1,,,,Población de 22 años o más nacida a partir de 1998 sin educación media superior completa2,,Población de 16 años o más nacida entre 1982 y 1997 sin secundaria completa,,,,,Población de 16 años o más nacida antes de 1982 sin primaria completa,,,,,Población sin educación obligatoria3,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tasa de inasistencia para la población de 3 a 15 años,,,,,Tasa de inasistencia para la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,Tasa de inasistencia para la población de 3 a 15 años,,,,,Tasa de inasistencia para la población de 16 a 21 años,,,
,,,2016,2018,2020,2022**,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Guerrero,11.6,14.7,14.5,17.2,41.8,,26.7,26.4,27.3,29.6,,41.1,39.5,41.4,42.4,,6.2,6.9,7.4,8.7,,41.3,48.5,50.2,56.2,,133.6,180.2,189.3,217.3,60.2,,211.2,208.6,215.4,228.5,,557.6,516.8,515.6,531.7,,58.3,62.8,67.8,77.6,,75.3,117.4,121.5,139.7
,,Hidalgo,10.7,13.5,13.7,15.1,30.1,,16.9,13.8,13.1,14.7,,31.7,29.7,27.8,27.9,,7.2,7.0,7.0,8.3,,34.7,44.4,47.8,50.2,,99.4,135.2,139.3,156.5,43.5,,120.3,91.2,93.1,102.1,,366.3,374.3,334.4,329.2,,56.2,51.8,48.1,57.8,,43.2,83.5,91.2,98.7
,,Jalisco,13.9,18.2,18.9,19.5,42.0,,16.8,16.9,15.0,18.3,,23.5,24.1,21.2,21.4,,9.2,11.3,11.8,11.8,,40.6,52.2,51.8,54.8,,326.8,483.8,522.6,526.8,194.2,,327.0,339.7,296.7,348.4,,774.2,766.7,670.1,668.5,,176.7,220.2,223.7,215.7,,150.2,263.6,298.9,311.1
,,México,10.9,14.0,14.1,14.7,31.3,,14.0,13.5,11.3,13.8,,19.6,17.6,16.1,18.3,,7.3,7.9,8.8,8.4,,31.2,43.1,42.5,47.9,,541.9,743.9,769.9,792.9,292.8,,557.3,562.7,453.9,569.2,,"1,336.1","1,172.0","1,083.2","1,176.2",,294.6,295.1,313.6,303.8,,247.4,448.7,456.3,489.1
,,Michoacán de Ocampo,15.8,19.7,23.1,20.7,51.0,,31.2,28.3,29.6,29.2,,41.2,36.4,38.0,37.0,,10.3,10.8,13.0,11.9,,51.0,61.5,67.7,62.8,,220.2,307.5,392.7,345.3,115.0,,349.7,308.8,307.6,323.3,,705.2,643.2,671.3,646.6,,119.4,122.5,153.9,140.8,,100.7,185.0,238.8,204.5
,,Morelos,12.6,17.1,17.0,16.0,37.3,,15.2,16.1,13.1,13.9,,23.9,24.6,21.7,21.0,,8.8,10.0,10.4,7.7,,33.0,48.2,53.3,54.3,,67.2,104.3,102.4,101.8,33.2,,74.5,72.9,60.0,62.4,,193.1,202.1,177.1,162.2,,38.1,42.3,42.9,33.1,,29.1,61.9,59.5,68.7
,,Nayarit,9.8,15.0,14.7,16.2,42.6,,13.7,13.3,14.1,17.0,,27.6,28.1,24.6,25.7,,7.1,9.3,8.0,9.3,,27.3,47.5,52.9,55.4,,36.1,62.6,59.5,67.9,23.1,,35.9,36.1,37.8,47.8,,136.9,135.5,122.3,117.8,,21.3,28.7,22.0,27.4,,14.8,33.8,37.5,40.4
,,Nuevo León,11.0,16.7,18.5,14.5,37.9,,8.6,8.7,8.5,7.8,,16.4,14.6,15.0,13.3,,6.3,7.5,10.3,6.7,,38.2,52.0,59.2,54.2,,168.7,289.0,318.2,262.0,134.1,,108.1,104.0,112.4,102.2,,371.1,346.4,373.1,320.4,,76.2,86.5,113.5,78.0,,92.5,202.5,204.7,184.0
,,Oaxaca,12.2,17.3,17.8,17.9,52.4,,28.6,25.7,28.1,26.7,,45.4,45.6,43.8,41.3,,7.4,8.7,8.8,9.3,,42.2,55.2,60.5,59.3,,152.9,238.1,252.1,252.5,93.7,,257.0,215.1,267.4,238.7,,705.8,730.8,682.3,653.1,,77.8,89.8,88.0,94.1,,75.2,148.2,164.1,158.4
,,Puebla,12.3,14.7,17.2,13.3,33.1,,22.2,21.7,21.0,23.5,,30.2,30.3,32.0,30.9,,7.9,8.2,10.4,7.0,,35.6,46.6,52.9,51.0,,248.4,326.5,385.6,312.6,106.0,,345.7,342.1,327.0,367.9,,741.8,711.5,771.6,683.8,,127.9,132.9,160.3,116.0,,120.6,193.6,225.3,196.6
