,,,Población de 5 años o menos1 ,,,,,,,,,,,,,,,Población de 6 a 11 años,,,,,,,,,,,,,,,Población de 12 a 17 años,,,,,,,,,,,,,,,Población de 18 a 29 años,,,,,,,,,,,,,,,Población de 30 a 64 años,,,,,,,,,,,,,,,Población de 65 años o más,,,,,,,,,,,,,
,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Ciudad de México,37.7,44.1,45.1,37.3,,231.7,237.3,222.7,162.9,,1.8,1.9,2.1,2.2,,40.2,42.7,39.8,33.8,,315.5,315.4,277.1,237.1,,1.7,1.7,1.9,1.9,,39.0,38.9,40.0,33.0,,317.8,314.4,297.1,255.4,,1.9,1.9,2.0,2.2,,26.3,30.8,36.8,29.6,,458.6,563.6,626.9,492.2,,1.9,2.0,2.1,2.2,,22.2,25.2,29.4,19.5,,930.4,"1,086.1","1,292.0",870.1,,1.9,1.8,2.1,2.1,,17.7,24.6,24.4,16.7,,170.6,239.2,293.6,212.4,,1.7,1.7,1.7,1.7
,,Durango,44.2,46.8,46.7,43.8,,88.1,90.7,86.0,76.5,,1.8,1.7,2.0,2.4,,46.2,45.5,47.3,42.7,,94.2,92.6,105.4,94.1,,1.7,1.5,1.8,2.2,,41.7,41.9,41.6,38.9,,81.3,87.6,80.9,83.6,,1.9,1.7,1.9,2.4,,35.7,36.3,37.5,33.0,,119.7,125.7,132.4,114.6,,1.9,1.9,2.1,2.5,,32.4,34.1,35.2,30.4,,221.9,235.8,253.7,227.7,,1.8,1.7,1.9,2.3,,34.9,42.3,32.7,27.6,,45.7,62.1,57.2,44.7,,1.8,1.8,1.7,2.0
,,Guanajuato,47.1,46.4,49.3,41.3,,295.3,294.3,262.9,232.9,,1.9,1.9,2.1,2.1,,45.9,49.2,47.6,39.6,,336.1,347.8,294.6,291.9,,1.7,1.8,1.8,2.0,,45.7,46.4,48.0,36.9,,319.8,334.7,324.2,250.8,,2.0,2.0,2.2,2.4,,32.0,35.6,41.1,30.6,,376.6,438.3,545.1,368.6,,2.1,2.1,2.2,2.4,,35.1,38.1,38.7,30.1,,799.1,892.3,972.3,765.5,,2.0,2.0,2.1,2.3,,48.9,48.7,47.3,30.0,,212.1,212.3,250.6,164.1,,2.1,2.2,2.1,2.2
,,Guerrero,72.9,75.0,75.6,71.5,,276.4,278.6,258.2,256.1,,2.7,2.9,3.0,3.2,,75.6,77.2,75.8,69.1,,336.7,336.8,330.3,282.8,,2.5,2.7,2.8,3.1,,74.0,72.7,72.7,66.4,,318.8,309.5,314.0,293.4,,2.7,2.9,3.0,3.3,,65.8,69.1,65.9,60.3,,413.2,449.0,443.2,367.6,,2.9,3.0,3.2,3.4,,61.4,60.7,61.7,54.6,,773.1,795.5,828.2,763.2,,2.8,3.0,3.1,3.3,,61.2,67.9,56.7,54.8,,200.2,209.2,189.3,210.2,,2.9,3.2,3.0,3.2
,,Hidalgo,64.1,59.8,59.7,49.5,,200.9,163.5,152.5,115.1,,2.1,2.1,2.2,2.5,,64.9,58.1,60.2,50.1,,236.4,204.0,204.5,164.3,,2.1,1.9,2.1,2.4,,61.8,54.7,58.2,45.9,,210.7,198.7,192.0,169.0,,2.1,2.1,2.4,2.6,,55.4,45.2,47.9,37.0,,301.7,237.8,287.1,208.6,,2.3,2.3,2.4,2.6,,50.8,45.9,47.1,38.3,,589.5,570.6,598.8,518.1,,2.3,2.2,2.4,2.6,,61.5,50.2,45.4,38.3,,134.9,142.7,135.8,119.3,,2.8,2.7,2.5,2.8
,,Jalisco,36.2,35.2,40.9,31.4,,298.4,301.7,305.0,207.6,,1.8,1.9,2.1,2.2,,38.8,34.1,39.5,30.2,,342.5,307.7,363.2,272.3,,1.7,2.0,2.1,2.2,,34.7,30.8,38.8,27.3,,297.3,253.9,335.2,238.6,,1.9,2.2,2.1,2.3,,27.3,25.1,30.9,19.8,,417.0,400.3,496.8,325.0,,1.9,2.2,2.4,2.5,,25.9,23.7,26.4,18.0,,836.7,792.2,908.5,644.9,,1.9,2.1,2.1,2.3,,36.5,32.5,27.9,20.1,,234.7,230.0,224.8,168.0,,1.9,2.0,2.1,2.0
,,México,58.9,56.3,64.1,58.1,,900.0,825.2,787.4,678.5,,2.1,2.1,2.4,2.5,,55.5,51.9,57.5,57.8,,"1,071.0",919.6,917.7,974.2,,2.0,1.9,2.0,2.2,,48.9,48.8,57.6,53.1,,960.4,893.3,"1,086.4",962.0,,2.1,2.1,2.2,2.2,,48.1,39.2,50.8,41.8,,"1,454.3","1,331.0","1,812.1","1,412.5",,2.1,2.1,2.3,2.5,,41.6,35.9,43.5,37.4,,"2,836.3","2,560.3","3,233.8","2,879.2",,2.0,2.0,2.2,2.4,,38.3,40.4,37.2,32.8,,473.7,507.0,505.1,520.8,,2.1,2.0,2.2,2.2
,,Michoacán de Ocampo,62.2,55.9,52.3,55.2,,329.7,280.5,250.0,250.3,,2.4,2.1,2.5,2.7,,65.6,56.3,54.5,52.5,,359.9,298.9,298.7,299.3,,2.1,2.0,2.3,2.5,,56.3,50.9,49.6,43.1,,275.7,257.3,273.2,228.2,,2.4,2.1,2.6,2.8,,51.0,42.5,39.8,41.2,,441.4,394.0,362.9,366.5,,2.6,2.5,2.7,3.0,,49.1,40.9,40.2,36.9,,806.8,731.2,746.7,732.7,,2.4,2.3,2.5,2.8,,52.8,47.0,45.2,36.1,,215.6,191.3,202.2,185.9,,2.7,2.5,2.4,2.5
,,Morelos,60.6,58.8,59.0,51.5,,107.1,101.0,94.0,73.8,,2.2,2.1,2.3,2.5,,58.2,60.0,63.3,51.1,,115.5,116.4,125.8,106.9,,1.9,1.9,2.1,2.4,,51.3,53.6,60.1,46.8,,106.7,111.9,113.5,98.9,,2.1,2.3,2.3,2.5,,44.7,46.2,50.0,40.6,,174.7,178.7,183.8,147.5,,2.1,2.2,2.4,2.6,,41.7,43.1,46.6,37.3,,321.0,347.1,392.1,324.5,,2.1,2.1,2.3,2.5,,40.1,49.6,44.3,34.5,,69.5,97.7,97.6,73.4,,2.1,2.4,2.1,2.2
,,Nayarit,48.4,46.3,38.6,41.4,,56.6,56.7,40.7,45.6,,2.3,2.3,2.3,2.5,,44.2,42.5,36.4,37.9,,62.4,61.8,45.7,51.5,,2.1,2.1,2.0,2.5,,41.2,41.3,36.7,37.2,,57.7,57.9,49.9,53.0,,2.2,2.4,2.2,2.7,,35.0,32.4,29.0,25.1,,74.4,71.5,67.1,55.3,,2.3,2.2,2.3,2.7,,33.3,30.9,27.7,25.9,,156.8,147.3,142.6,135.6,,2.2,2.3,2.1,2.6,,42.3,35.5,24.1,22.3,,42.1,41.2,30.6,29.1,,2.5,2.1,2.0,2.2
