,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuadro 26F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medición multidimensional de la pobreza*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porcentaje y número de personas en los componentes de carencia por acceso a la alimentación nutritiva y de calidad, según entidad federativa, 2016 - 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Entidad Federativa,Carencia por acceso a la alimentación nutritiva y de calidad1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcentaje ,,,,,,,,,,,,,,,,,,,,,,,,,Miles de personas ,,,,,,,,,,,,,,,,,,,,,,,
,,,Seguridad alimentaria,,,,,Inseguridad alimentaria leve,,,,,Inseguridad alimentaria moderada,,,,,Inseguridad alimentaria severa,,,,,Limitación en el consumo de alimentos2,,,,,Seguridad alimentaria,,,,,Inseguridad alimentaria leve,,,,,Inseguridad alimentaria moderada,,,,,Inseguridad alimentaria severa,,,,,Limitación en el consumo de alimentos2,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Hidalgo,49.5,53.7,50.4,64.2,,26.0,23.5,24.3,20.6,,16.4,14.4,16.1,8.3,,8.0,8.3,9.2,6.9,,6.0,8.0,5.9,6.9,,"1,456.2","1,635.3","1,560.2","2,027.5",,766.2,715.5,751.2,650.7,,482.9,437.8,498.1,261.5,,236.6,253.8,285.2,217.5,,177.4,244.8,181.9,217.4
,,Jalisco,67.0,69.9,67.8,72.1,,17.6,15.0,17.9,14.7,,10.0,9.0,8.7,8.9,,5.4,6.1,5.6,4.3,,1.3,1.6,1.0,1.3,,"5,335.0","5,742.9","5,684.0","6,128.9",,"1,401.9","1,236.6","1,501.1","1,248.2",,799.7,737.5,727.9,757.7,,427.2,504.7,469.6,366.4,,107.3,129.1,81.5,106.3
,,México,57.4,60.1,54.6,63.9,,21.8,20.0,24.0,19.1,,12.9,11.8,15.3,10.8,,7.9,8.0,6.1,6.2,,6.0,5.6,6.2,6.0,,"9,474.9","10,125.7","9,313.4","11,075.7",,"3,594.6","3,375.4","4,100.9","3,304.0",,"2,126.5","1,991.1","2,610.9","1,871.5",,"1,302.5","1,351.3","1,047.5","1,071.6",,988.5,941.0,"1,062.9","1,045.9"
,,Michoacán de Ocampo,51.5,57.4,56.8,60.0,,22.6,21.6,21.7,19.1,,14.3,13.0,13.1,11.7,,11.6,8.1,8.3,9.2,,3.6,3.3,3.9,4.3,,"2,310.1","2,672.7","2,725.1","2,964.9",,"1,012.1","1,005.5","1,040.6",942.6,,642.8,604.7,629.6,579.5,,519.9,376.5,398.6,455.9,,161.3,152.2,186.3,213.8
,,Morelos,57.2,53.7,53.6,62.5,,23.3,21.7,23.3,19.9,,13.6,15.5,14.3,11.0,,5.9,9.1,8.8,6.6,,3.5,3.1,2.5,2.0,,"1,096.6","1,054.1","1,058.2","1,255.3",,445.6,426.0,460.7,400.0,,260.4,304.9,282.6,221.1,,113.1,177.8,174.6,133.4,,66.7,60.9,50.0,39.2
,,Nayarit,58.0,63.3,62.6,70.4,,22.0,17.8,17.6,13.0,,12.0,10.6,12.3,9.4,,7.9,8.3,7.5,7.3,,1.7,2.2,1.2,0.8,,685.5,773.9,775.3,887.8,,260.2,217.2,218.1,164.3,,141.8,129.1,152.4,118.0,,93.6,101.8,92.8,91.8,,19.6,26.4,15.0,10.7
,,Nuevo León,71.3,75.0,70.9,77.7,,14.3,12.8,15.0,11.4,,7.5,6.7,8.0,6.7,,6.9,5.4,6.1,4.2,,0.7,0.4,0.9,1.1,,"3,778.7","4,125.2","4,153.7","4,706.7",,756.5,706.2,877.4,687.7,,395.8,371.1,469.4,407.4,,365.8,299.8,356.3,256.1,,35.4,24.7,51.6,66.2
,,Oaxaca,40.8,42.6,42.5,50.5,,27.8,29.5,29.1,26.4,,18.6,16.5,17.5,15.2,,12.7,11.4,11.0,7.9,,8.1,7.8,8.6,8.5,,"1,598.1","1,706.3","1,770.9","2,145.9",,"1,087.8","1,179.1","1,211.3","1,122.1",,729.1,660.8,728.0,645.3,,498.8,456.7,457.3,336.6,,318.6,314.2,357.7,362.0
,,Puebla,57.1,56.9,47.5,57.6,,22.8,22.3,25.1,23.2,,12.2,12.6,16.7,12.4,,7.9,8.2,10.6,6.7,,5.9,6.3,6.8,5.8,,"3,612.6","3,682.2","3,149.8","3,869.1",,"1,438.7","1,443.6","1,664.4","1,561.0",,773.5,818.2,"1,109.4",835.3,,497.0,531.4,702.0,448.9,,373.7,409.5,447.7,389.9
,,Querétaro,67.0,71.4,64.3,74.1,,19.6,14.8,18.7,14.6,,8.8,9.0,10.1,7.4,,4.6,4.9,6.9,4.0,,2.3,2.1,2.8,2.5,,"1,445.2","1,635.4","1,541.3","1,833.3",,422.7,338.6,447.8,360.2,,189.1,206.3,242.2,183.3,,99.4,111.6,164.2,98.0,,50.5,48.8,66.5,62.8
,,Quintana Roo,64.4,65.1,46.6,70.0,,19.2,17.0,26.2,17.3,,9.9,10.0,15.7,8.0,,6.5,7.9,11.6,4.7,,4.1,4.0,3.7,3.3,,"1,095.1","1,177.7",876.1,"1,342.7",,325.7,307.6,492.0,331.0,,168.2,180.7,295.2,152.9,,110.3,143.6,217.3,90.5,,69.4,71.8,70.3,62.8
,,San Luis Potosí,59.4,64.7,60.2,69.6,,20.5,18.4,22.0,17.2,,11.6,10.1,10.5,7.7,,8.5,6.9,7.3,5.5,,2.3,2.3,2.5,1.5,,"1,639.1","1,813.3","1,706.0","1,999.5",,565.7,515.2,623.6,494.0,,320.8,283.2,298.0,221.1,,233.9,192.1,205.6,157.8,,62.4,64.1,70.5,42.1
,,Sinaloa,58.1,53.8,59.4,66.7,,19.1,21.7,18.6,16.2,,12.0,13.8,12.5,9.5,,10.7,10.8,9.5,7.6,,0.8,0.6,0.4,0.4,,"1,709.8","1,610.2","1,806.7","2,060.2",,562.2,650.3,565.8,499.3,,353.4,412.3,379.2,292.5,,315.4,322.2,289.9,235.9,,23.0,17.9,11.8,11.3
