entidad,anio,Ins_total,Ins_Hombres,Ins_Mujeres,Total,Hombres,Mujeres,prct_Total,prct_Hombres,prct_Mujeres,entidad_etiqueta,fecha
Hidalgo,2023,1619719,682924,936795,2285749,1040981,1244768,70.86,65.6,75.26,Hidalgo,2023-01-01
Jalisco,2023,4304152,1841178,2462974,6263986,2923118,3340868,68.71,62.99,73.72,Jalisco,2023-01-01
México,2023,11742191,5306285,6435906,13051507,5978161,7073346,89.97,88.76,90.99,Estado de México,2023-01-01
Michoacán de Ocampo,2023,2208713,898696,1310017,3423499,1574139,1849360,64.52,57.09,70.84,Michoacán,2023-01-01
Morelos,2023,1245257,555205,690052,1462846,684748,778098,85.13,81.08,88.68,Morelos,2023-01-01
Nayarit,2023,435383,168719,266664,901640,422927,478713,48.29,39.89,55.7,Nayarit,2023-01-01
Nuevo León,2023,3385216,1504344,1880872,4516485,2227866,2288619,74.95,67.52,82.18,Nuevo León,2023-01-01
Oaxaca,2023,1979352,808472,1170880,2926513,1289631,1636882,67.64,62.69,71.53,Oaxaca,2023-01-01
Puebla,2023,3852536,1602450,2250086,4633197,2028301,2604896,83.15,79.0,86.38,Puebla,2023-01-01
Querétaro,2023,1165117,479425,685692,1792229,837579,954650,65.01,57.24,71.83,Querétaro,2023-01-01
Quintana Roo,2023,1124522,540165,584357,1430519,727666,702853,78.61,74.23,83.14,Quintana Roo,2023-01-01
San Luis Potosí,2023,1450217,622405,827812,2036493,940004,1096489,71.21,66.21,75.5,San Luis Potosí,2023-01-01
Sinaloa,2023,1324236,506010,818226,2215018,1029784,1185234,59.78,49.14,69.03,Sinaloa,2023-01-01
Sonora,2023,1392770,574017,818753,2207720,1057130,1150590,63.09,54.3,71.16,Sonora,2023-01-01
Tabasco,2023,1509322,682975,826347,1738078,811425,926653,86.84,84.17,89.18,Tabasco,2023-01-01
Tamaulipas,2023,1679991,682282,997709,2621868,1197014,1424854,64.08,57.0,70.02,Tamaulipas,2023-01-01
Tlaxcala,2023,819840,331368,488472,1020798,452654,568144,80.31,73.21,85.98,Tlaxcala,2023-01-01
Veracruz de Ignacio de la Llave,2023,4201726,1652154,2549572,5987787,2634308,3353479,70.17,62.72,76.03,Veracruz,2023-01-01
Yucatán,2023,883220,343577,539643,1763074,852032,911042,50.1,40.32,59.23,Yucatán,2023-01-01
Zacatecas,2023,845380,380447,464933,1100963,511755,589208,76.79,74.34,78.91,Zacatecas,2023-01-01
Aguascalientes,2024,692161,287990,404171,1043454,472789,570665,66.33,60.91,70.82,Aguascalientes,2024-01-01
Baja California,2024,2074638,930191,1144447,2767916,1318211,1449705,74.95,70.56,78.94,Baja California,2024-01-01
Baja California Sur,2024,270446,101441,169005,645765,316059,329706,41.88,32.1,51.26,Baja California Sur,2024-01-01
Campeche,2024,423774,174842,248932,677240,320503,356737,62.57,54.55,69.78,Campeche,2024-01-01
Coahuila de Zaragoza,2024,1218761,475440,743321,2391437,1135514,1255923,50.96,41.87,59.19,Coahuila,2024-01-01
Colima,2024,394541,170321,224220,545238,257902,287336,72.36,66.04,78.03,Colima,2024-01-01
Chiapas,2024,2527388,1101404,1425984,3591017,1637332,1953685,70.38,67.27,72.99,Chiapas,2024-01-01
Chihuahua,2024,1900353,836967,1063386,2802072,1336327,1465745,67.82,62.63,72.55,Chihuahua,2024-01-01
Ciudad de México,2024,6295195,2783941,3511254,7612099,3491363,4120736,82.7,79.74,85.21,Ciudad de México,2024-01-01
Durango,2024,678742,280230,398512,1319933,627181,692752,51.42,44.68,57.53,Durango,2024-01-01
Guanajuato,2024,3371270,1399665,1971605,4473247,1942073,2531174,75.37,72.07,77.89,Guanajuato,2024-01-01
Guerrero,2024,1718716,668380,1050336,2460097,1051314,1408783,69.86,63.58,74.56,Guerrero,2024-01-01
Hidalgo,2024,1528286,594273,934013,2287861,995119,1292742,66.8,59.72,72.25,Hidalgo,2024-01-01
Jalisco,2024,4161463,1801624,2359839,6304279,2928894,3375385,66.01,61.51,69.91,Jalisco,2024-01-01
México,2024,11488929,5106616,6382313,13111692,5958703,7152989,87.62,85.7,89.23,Estado de México,2024-01-01
Michoacán de Ocampo,2024,2371544,989074,1382470,3449195,1572623,1876572,68.76,62.89,73.67,Michoacán,2024-01-01
Morelos,2024,1279453,552386,727067,1453641,649873,803768,88.02,85.0,90.46,Morelos,2024-01-01
Nayarit,2024,400607,152878,247729,887220,435145,452075,45.15,35.13,54.8,Nayarit,2024-01-01
Nuevo León,2024,3379891,1503295,1876596,4586708,2242654,2344054,73.69,67.03,80.06,Nuevo León,2024-01-01
Oaxaca,2024,1913051,782863,1130188,2975078,1344246,1630832,64.3,58.24,69.3,Oaxaca,2024-01-01
Puebla,2024,3645946,1516735,2129211,4608157,2004967,2603190,79.12,75.65,81.79,Puebla,2024-01-01
Querétaro,2024,1202427,463212,739215,1843470,805535,1037935,65.23,57.5,71.22,Querétaro,2024-01-01
Quintana Roo,2024,1097309,525872,571437,1438582,729363,709219,76.28,72.1,80.57,Quintana Roo,2024-01-01
San Luis Potosí,2024,1434845,581143,853702,2071053,951700,1119353,69.28,61.06,76.27,San Luis Potosí,2024-01-01
Sinaloa,2024,1306770,492649,814121,2261349,1010847,1250502,57.79,48.74,65.1,Sinaloa,2024-01-01
Sonora,2024,1434742,630860,803882,2187433,1082720,1104713,65.59,58.27,72.77,Sonora,2024-01-01
Tabasco,2024,1482354,652306,830048,1771236,813918,957318,83.69,80.14,86.71,Tabasco,2024-01-01
Tamaulipas,2024,1686563,675401,1011162,2626841,1197674,1429167,64.2,56.39,70.75,Tamaulipas,2024-01-01
Tlaxcala,2024,818529,338218,480311,1023363,445905,577458,79.98,75.85,83.18,Tlaxcala,2024-01-01
