estado,anio,porc_pob_3_21_no_asist_sin_oblig,porc_pob_16mas_sin_secu,porc_pob_16mas_sin_prim,porc_tasa_inasistencia_3_15,porc_tasa_inasistencia_16_21,porc_seg_aliment,porc_inseg_aliment_leve,porc_inseg_aliment_mode,porc_inseg_aliment_seve,porc_limit_consumo,porc_carencia_menor18,porc_carencia_6_11,porc_carencia_12_17,pob_total_hogares_menores_5_17
Coahuila de Zaragoza,2020,16.3,9.1,15.9,9.0,56.3,68.4,16.4,9.0,6.2,0.6,30.7,29.6,29.7,
Coahuila de Zaragoza,2022,15.8,8.6,12.7,9.9,53.0,75.5,11.9,7.2,5.4,0.9,23.4,23.0,21.6,2002851.0
Colima,2016,10.0,16.7,24.2,6.6,32.1,61.3,17.6,12.7,8.4,1.6,39.7,40.6,36.2,
Colima,2018,14.1,15.9,24.9,8.7,41.5,62.0,16.3,12.7,8.9,2.6,38.3,38.8,37.2,
Colima,2020,16.5,14.1,21.6,9.2,52.0,66.9,16.5,8.8,7.8,1.7,34.5,36.0,32.6,
Colima,2022,13.5,13.2,18.7,7.6,46.5,74.5,12.3,8.4,4.8,1.1,25.9,26.0,26.1,430910.0
Durango,2016,14.0,12.6,21.8,9.2,40.0,62.4,19.0,10.8,7.8,0.5,44.1,46.2,41.7,
Durango,2018,16.2,11.9,21.3,8.7,52.5,66.6,14.7,11.0,7.8,0.5,44.7,45.5,41.9,
Durango,2020,16.1,10.7,22.7,8.1,58.0,63.1,18.2,10.7,8.0,0.6,45.3,47.3,41.6,
Durango,2022,16.6,12.9,20.9,9.2,58.5,62.0,18.2,10.8,9.0,1.0,41.7,42.7,38.9,1250141.0
Estados Unidos Mexicanos,2016,12.3,17.3,25.8,8.1,35.9,59.5,20.6,11.9,8.1,3.5,,,,
Estados Unidos Mexicanos,2018,15.6,16.7,25.3,8.9,47.6,60.5,19.2,12.0,8.3,3.5,,,,
Estados Unidos Mexicanos,2020,16.7,16.0,24.3,9.9,51.7,57.8,21.5,12.7,8.1,3.6,,,,
Estados Unidos Mexicanos,2022,15.9,16.6,23.7,9.2,52.1,66.1,17.7,9.9,6.4,3.5,,,,
Guanajuato,2016,14.6,20.9,30.8,9.0,43.7,60.4,19.9,11.5,8.3,2.5,46.2,45.9,45.7,
Guanajuato,2018,18.6,20.1,30.3,10.2,57.7,62.5,16.8,12.0,8.7,2.7,47.3,49.2,46.4,
Guanajuato,2020,21.6,17.4,29.3,10.7,63.7,56.4,20.9,13.2,9.6,3.8,48.2,47.6,48.0,
Guanajuato,2022,20.2,17.4,28.1,10.9,62.0,65.7,17.1,10.4,6.9,1.8,39.2,39.6,36.9,4067714.0
Guerrero,2016,11.6,26.7,41.1,6.2,41.3,45.7,26.5,16.6,11.3,4.9,74.2,75.6,74.0,
Guerrero,2018,14.7,26.4,39.5,6.9,48.5,36.3,28.1,20.5,15.1,7.8,75.0,77.2,72.7,
Guerrero,2020,14.5,27.3,41.4,7.4,50.2,37.4,29.3,21.3,12.1,5.8,74.6,75.8,72.7,
Guerrero,2022,17.2,29.6,42.4,8.7,56.2,45.7,25.8,17.5,10.9,6.3,68.8,69.1,66.4,2454634.0
Hidalgo,2016,10.7,16.9,31.7,7.2,34.7,49.5,26.0,16.4,8.0,6.0,63.6,64.9,61.8,
Hidalgo,2018,13.5,13.8,29.7,7.0,44.4,53.7,23.5,14.4,8.3,8.0,57.3,58.1,54.7,
Hidalgo,2020,13.7,13.1,27.8,7.0,47.8,50.4,24.3,16.1,9.2,5.9,59.4,60.2,58.2,
Hidalgo,2022,15.1,14.7,27.9,8.3,50.2,64.2,20.6,8.3,6.9,6.9,48.3,50.1,45.9,1912671.0
Jalisco,2016,13.9,16.8,23.5,9.2,40.6,67.0,17.6,10.0,5.4,1.3,36.6,38.8,34.7,
